,ZIPCODE,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,final_score_scale,0_percent,1_percent,2_percent
155,11414,0.31,0.22,0.45,0.5,0.17,0.295615352,0.419572902,0.24390682,0.715789474,0.126315789,0.157894737
156,11415,0.22,0.28,0.5,0.46,0.29,0.27941186,0.395878021,0.351552347,0.77027027,0.22972973,0
157,11416,0.18,0.22,0.59,0.52,0.17,0.312266344,0.389668052,0.503390815,0.294117647,0.705882353,0
158,11417,0.17,0.23,0.59,0.54,0.2,0.303070348,0.429562852,0.724656397,0.695652174,0.304347826,0
159,11418,0.21,0.27,0.54,0.5,0.2,0.314859343,0.378398108,0.639632241,0.977209561,0.018343524,0.004446915
160,11419,0.18,0.25,0.57,0.51,0.17,0.305734347,0.386938065,0.82954326,0.269230769,0.423076923,0.307692308
161,11420,0.21,0.26,0.54,0.49,0.16,0.302688349,0.408892956,0.312160209,0.575471698,0.330188679,0.094339623
162,11421,0.15,0.26,0.59,0.49,0.19,0.296644352,0.404837976,0.617997938,0.258064516,0.580645161,0.161290323
163,11422,0.19,0.28,0.53,0.41,0.18,0.273038363,0.497852511,0.510000138,0.105322763,0.88788222,0.006795017
164,11423,0.24,0.26,0.51,0.47,0.23,0.311568344,0.384313078,0.52723284,0.393939394,0.606060606,0
165,11426,0.35,0.24,0.39,0.6,0.22,0.306255847,0.529177354,0.451963439,0.828828829,0.171171171,0
166,11427,0.26,0.26,0.49,0.55,0.23,0.301730349,0.426447868,0.425138898,0.698924731,0.301075269,0
167,11428,0.22,0.29,0.48,0.56,0.16,0.285354357,0.438172809,0.78268448,0.043478261,0.565217391,0.391304348
168,11429,0.2,0.25,0.58,0.41,0.19,0.245330877,0.476472618,0.530787698,0.787878788,0.212121212,0
169,11430,0.16,0.33,0.5,0.42,0.09,0.281249859,0.416662917,0.622477837,0.024608501,0.004474273,0.970917226
170,11432,0.2,0.21,0.58,0.5,0.25,0.34030833,0.305233474,0.645793372,0.282539683,0.438095238,0.279365079
171,11433,0.23,0.24,0.53,0.37,0.13,0.256749872,0.291308543,0.627140824,0.396341463,0.579268293,0.024390244
172,11434,0.2,0.25,0.55,0.36,0.16,0.256135372,0.346843266,0.470535325,0.722891566,0.240963855,0.036144578
173,11435,0.21,0.22,0.57,0.49,0.21,0.256479372,0.353318233,0.245544874,0.890625,0.1,0.009375
174,11436,0.24,0.23,0.54,0.4,0.15,0.247914376,0.411877941,0.198321133,0.591397849,0.387096774,0.021505376
175,11691,0.29,0.21,0.5,0.4,0.17,0.303052348,0.250993745,0.822392777,0.026514094,0.001116383,0.972369523
176,11692,0.16,0.2,0.64,0.38,0.17,0.255352372,0.242188789,0.529640107,0.95631068,0.038834951,0.004854369
177,11693,0.16,0.24,0.6,0.4,0.17,0.235192882,0.340733296,0.68208386,0.621621622,0.297297297,0.081081081
178,11694,0.24,0.31,0.45,0.48,0.25,0.393604803,0.459602702,0.630662181,0.596296296,0.025925926,0.377777778
179,11697,0.26,0.25,0.51,0.64,0.29,0.322790339,0.563877181,0.865108721,0,0.022222222,0.977777778
